id,product_display_name,brand_name,master_category,sub_category,article_type,gender,color,season,usage,fit,pattern,shape,occasion,sleeve_styling,sleeve_length,fabric,neck,is_jewellery,product_description1,style_image,landing_page_url
80000,White Contemporary Jhumkas Earrings,shining_diva,accessories,jewellery,jhumka,women,white,none,ethnic,none,none,contemporary,ethnic,none,none,none,none,true,White contemporary jhumkas gold-plated has artificial stones and beads. Secured with a insert,https://assets.myntassets.com/v1/assets/images/17386164/2022/5/27/ce54200b-7fed-4145-8cdc-cdd03dd7e31f1653647385315ShiningDivaWhiteContemporaryJhumkasEarrings1.jpg,earrings/shining-diva/shining-diva-white-contemporary-jhumkas-earrings/17386164/buy
80001,Pink Meenakari Kundan & Pearl Floral Ethnic Drop Jhumka Earrings,oomph,accessories,jewellery,jhumka,women,pink,none,ethnic,none,none,contemporary,ethnic,none,none,none,none,true,Pink contemporary jhumkas,https://assets.myntassets.com/v1/assets/images/15102008/2021/8/25/ae0b82c1-766c-4947-a9b2-48e9798332291629871297772-OOMPH-Pink-Meenakari-Kundan--Pearl-Floral-Ethnic-Drop-Jhumka-6.jpg,earrings/oomph/oomph-pink-meenakari-kundan--pearl-floral-ethnic-drop-jhumka-earrings/15102008/buy
80002,Red & Green Silver-Plated Stone-Studded & Beaded Jhumka,sangria,accessories,jewellery,jhumka,women,silver,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Silver-plated jhumka earrings has red green and white stone-studded & beaded and peacock shaped details Secured with a post and back closure,https://assets.myntassets.com/v1/assets/images/22833334/2023/4/20/c992da58-4162-48ec-ba5f-1ceccea0f97e1681980346193OxidisedPeacockshapedSilver-PlatedRedGreenStoneStuddedBeaded1.jpg,earrings/sangria/sangria-red--green-silver-plated-stone-studded--beaded-jhumka-/22833334/buy
80003,Silver-Toned & Blue Oxidised Stone Studded & Beaded Dome Shaped Jhumkas,anouk,accessories,jewellery,jhumka,women,blue,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Silver-toned blue and white oxidised stone studded & beaded dome shaped jhumkas Secured with a post and back,https://assets.myntassets.com/v1/assets/images/15999744/2023/5/25/f0260d63-2177-4e64-aaa2-f1d6f3ed09851684996976311AnoukSilver-TonedBlueOxidisedStoneStuddedBeadedDomeShapedJhu1.jpg,earrings/anouk/anouk-silver-toned--blue-oxidised-stone-studded--beaded-dome-shaped-jhumkas/15999744/buy
80004,Stone-Studded Jhumka Earrings,sangria,accessories,jewellery,jhumka,women,silver,none,ethnic,none,none,contemporary,ethnic,none,none,none,none,true,Silver-plated drop earrings has white stone-studded details Secured with a post and back,https://assets.myntassets.com/v1/assets/images/23288830/2023/5/20/8de26132-637a-470d-b36a-b408f92380661684559724567Earrings1.jpg,earrings/sangria/sangria-stone-studded-jhumka-earrings/23288830/buy
80005,Sea Green & Gold-Toned Enamelled Dome Shaped Jhumkas,accessorize,accessories,jewellery,jhumka,women,sea_green,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Sea green and gold-toned dome shaped jhumkas Secured with a post and back,https://assets.myntassets.com/v1/assets/images/15126282/2021/8/12/87bafcf3-24bb-44f6-9b18-d2d67545742e1628767240728MINTENAMELLEDJHUMKAS1.jpg,earrings/accessorize/accessorize-sea-green--gold-toned-enamelled-dome-shaped-jhumkas-/15126282/buy
80006,Oxidised Silver-Toned Stone Studded & Beaded Dome Shaped Jhumkas,anouk,accessories,jewellery,jhumka,women,silver,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Oxidised Silver-toned dome shaped jhumkas has artificial stones and beads Secured with a post and back closure,https://assets.myntassets.com/v1/assets/images/15999592/2023/5/25/d99d4aca-8ac2-46c7-ace4-36ceabf94aae1684996973971AnoukOxidisedSilver-TonedStoneStuddedBeadedDomeShapedJhumkas1.jpg,earrings/anouk/anouk-oxidised-silver-toned-stone-studded--beaded-dome-shaped-jhumkas-/15999592/buy
80007,Gold-Plated Oxidised Contemporary Lotus Jhumkas,rubans,accessories,jewellery,jhumka,women,gold,none,ethnic,none,none,contemporary,ethnic,none,none,none,none,true,Gold-Toned Contemporary Earrings gold-plated and has artificial beads Secured with a lever back closure,https://assets.myntassets.com/v1/assets/images/13771762/2023/5/12/56fbb6f6-c27d-4eb9-9d3a-52286ef1cb721683874844232-Rubans-Gold-Plated-Oxidised-Contemporary-Lotus-Jhumkas-14916-4.jpg,earrings/rubans/rubans-gold-plated-oxidised-contemporary-lotus-jhumkas/13771762/buy
80008,Rose Gold Dome Shaped Jhumkas Earrings,rubans,accessories,jewellery,jhumka,women,rose_gold,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Rose gold dome shaped jhumkas rose gold-plated has american diamond Secured with a post and back,https://assets.myntassets.com/v1/assets/images/18021010/2023/7/25/f4df4a1b-7653-4058-81e3-a21c37d9db521690279426838RubansRoseGoldDomeShapedJhumkasEarrings1.jpg,earrings/rubans/rubans-rose-gold-dome-shaped-jhumkas-earrings/18021010/buy
80009,Silver-Toned & Red Oxidised Beaded Dome Shaped Jhumkas,anouk,accessories,jewellery,jhumka,women,silver,none,ethnic,none,none,dome_shaped,ethnic,none,none,none,none,true,Silver-toned red and white oxidised beaded dome shaped jhumkas Secured with a post and back,https://assets.myntassets.com/v1/assets/images/15999204/2023/5/25/58b3ccd5-30e2-43d4-9c89-3234c805114b1684997038146AnoukSilver-TonedRedOxidisedBeadedDomeShapedJhumkas1.jpg,earrings/anouk/anouk-silver-toned--red-oxidised-beaded-dome-shaped-jhumkas-/15999204/buy
